class,age,sex,survived
3,adult,male,0
1,adult,female,1
3,adult,female,1
1,adult,female,1
3,adult,male,0
3,adult,male,0
1,adult,male,0
3,minor,male,0
3,adult,female,1
2,minor,female,1
3,minor,female,1
1,adult,female,1
3,adult,male,0
3,adult,male,0
3,minor,female,0
2,adult,female,1
3,minor,male,0
2,adult,male,1
3,adult,female,0
3,adult,female,1
2,adult,male,0
2,adult,male,1
3,minor,female,1
1,adult,male,1
3,minor,female,0
3,adult,female,1
3,adult,male,0
1,adult,male,0
3,adult,female,1
3,adult,male,0
1,adult,male,0
1,adult,female,1
3,adult,female,1
2,adult,male,0
1,adult,male,0
1,adult,male,0
3,adult,male,1
3,adult,male,0
3,adult,female,0
3,minor,female,1
3,adult,female,0
2,adult,female,0
3,adult,male,0
2,minor,female,1
3,adult,female,1
3,adult,male,0
3,adult,male,0
3,adult,female,1
3,adult,male,0
3,adult,female,0
3,minor,male,0
3,adult,male,0
1,adult,female,1
2,adult,female,1
1,adult,male,0
1,adult,male,1
2,adult,female,1
3,adult,male,0
2,minor,female,1
3,minor,male,0
3,adult,male,0
1,adult,female,1
1,adult,male,0
3,minor,male,0
1,adult,male,0
3,adult,male,1
2,adult,female,1
3,adult,male,0
3,minor,female,1
3,adult,male,0
2,adult,male,0
3,minor,female,0
2,adult,male,0
3,adult,male,0
3,adult,male,1
3,adult,male,0
3,adult,male,0
3,adult,male,0
2,minor,male,1
3,adult,female,1
3,adult,male,0
3,adult,male,1
3,adult,female,1
1,adult,male,0
2,minor,female,1
3,adult,female,1
3,minor,male,0
3,adult,male,0
1,adult,female,1
3,adult,male,0
3,adult,male,0
3,adult,male,0
1,adult,male,0
3,adult,male,0
3,adult,male,0
3,adult,male,0
1,adult,male,0
1,adult,male,1
2,adult,female,1
2,adult,male,0
3,adult,female,0
3,adult,male,0
1,adult,male,0
3,adult,male,0
3,adult,male,0
3,adult,male,0
3,adult,female,1
3,adult,male,1
3,adult,male,0
3,adult,female,1
1,adult,male,0
3,minor,female,0
3,adult,male,0
3,adult,female,0
3,minor,female,0
3,adult,male,0
3,adult,male,0
2,adult,male,0
1,adult,male,0
3,minor,female,0
2,adult,male,0
3,adult,male,0
2,adult,male,0
2,adult,female,1
1,adult,male,0
3,minor,male,1
3,adult,male,0
3,adult,male,1
3,adult,female,1
3,adult,male,0
3,adult,male,0
3,adult,male,0
3,adult,female,0
2,adult,female,1
2,adult,male,0
2,adult,male,0
1,adult,female,1
1,adult,male,0
3,minor,male,0
1,adult,male,0
3,adult,female,0
3,adult,female,1
3,adult,female,1
3,adult,male,0
2,adult,male,0
2,adult,male,0
3,adult,male,1
3,minor,female,0
2,adult,male,0
2,adult,male,0
2,adult,male,0
1,adult,female,1
3,adult,male,0
3,adult,male,0
3,adult,male,0
1,adult,male,0
